time,Hesperocyoninae,Borophaginae,Caninae,Amphicyonidae,Nimravidae,Felidae,Barbourofelidae,Ursidae
29.2,13,10,0,4,2,0,0,1
29.1,13,10,0,4,2,0,0,1
29,13,10,0,4,2,0,0,1
28.9,13,10,0,4,2,0,0,1
28.8,13,11,0,4,2,0,0,1
28.7,14,11,0,4,3,0,0,1
28.6,14,11,0,4,3,0,0,1
28.5,14,11,0,4,3,0,0,1
28.4,14,11,0,4,3,0,0,1
28.3,14,11,0,4,3,0,0,1
28.2,14,10,0,4,3,0,0,1
28.1,14,10,0,4,3,0,0,1
28,14,10,0,4,2,0,0,1
27.9,14,10,0,4,2,0,0,1
27.8,14,11,0,4,2,0,0,1
27.7,14,11,0,5,2,0,0,1
27.6,14,11,0,5,2,0,0,1
27.5,14,11,0,5,2,0,0,1
27.4,14,11,0,5,2,0,0,1
27.3,14,11,0,5,2,0,0,1
27.2,14,12,0,5,2,0,0,1
27.1,14,12,1,5,2,0,0,1
27,14,12,1,5,2,0,0,1
26.9,14,12,1,6,2,0,0,1
26.8,14,12,1,6,2,0,0,1
26.7,14,12,1,6,2,0,0,1
26.6,14,12,1,6,2,0,0,1
26.5,14,12,1,6,2,0,0,1
26.4,15,12,1,7,2,0,0,1
26.3,15,12,1,8,2,0,0,1
26.2,15,12,1,8,2,0,0,1
26.1,15,13,1,8,2,0,0,1
26,14,13,1,8,2,0,0,1
25.9,14,13,1,8,2,0,0,1
25.8,14,13,1,8,2,0,0,1
25.7,14,13,1,7,2,0,0,1
25.6,14,13,1,7,2,0,0,1
25.5,14,13,1,7,2,0,0,1
25.4,14,12,1,7,3,0,0,1
25.3,14,12,1,7,3,0,0,1
25.2,15,12,1,7,3,0,0,1
25.1,15,12,1,7,3,0,0,1
25,15,12,1,8,3,0,0,1
24.9,15,12,1,8,3,0,0,1
24.8,14,12,1,8,3,0,0,1
24.7,15,13,1,8,3,0,0,1
24.6,15,13,1,8,3,0,0,1
24.5,15,13,1,8,3,0,0,1
24.4,15,13,1,9,3,0,0,1
24.3,15,13,1,9,3,0,0,1
24.2,16,13,2,9,3,0,0,1
24.1,16,12,2,9,3,0,0,1
24,17,12,2,9,3,0,0,1
23.9,15,12,1,8,2,0,0,1
23.8,15,12,1,8,2,0,0,1
23.7,15,12,1,8,2,0,0,1
23.6,15,12,1,8,3,0,0,1
23.5,15,13,1,8,3,0,0,1
23.4,16,13,1,8,3,0,0,1
23.3,16,13,1,8,3,0,0,1
23.2,17,14,1,8,3,0,0,1
23.1,16,15,1,8,3,0,0,1
23,15,15,1,8,3,0,0,1
22.9,15,14,1,8,2,0,0,1
22.8,15,14,1,9,2,0,0,1
22.7,15,14,1,10,2,0,0,1
22.6,15,15,1,11,2,0,0,1
22.5,15,17,1,11,2,0,0,1
22.4,15,16,1,11,2,0,0,1
22.3,16,16,1,11,3,0,0,1
22.2,16,16,1,12,3,0,0,1
22.1,16,16,1,12,3,0,0,1
22,16,16,1,13,3,0,0,1
21.9,16,15,1,14,3,0,0,1
21.8,16,15,1,14,3,0,0,1
21.7,16,14,1,14,3,0,0,1
21.6,16,15,1,13,3,1,0,1
21.5,16,15,1,12,2,1,0,1
21.4,16,17,1,12,2,1,0,1
21.3,16,17,2,12,2,1,0,1
21.2,16,18,2,12,2,1,0,2
21.1,16,18,2,12,2,1,0,1
